ncr_id,date,steel_grade,defect_type,temperature_celsius,environment_conditions,symptoms_observed,root_cause,test_standard_used,severity,recommended_fix
QA-MET-001,2024-10-14,347,SCC,80,Marine atmospheric exposure,Multiple crack initiation sites at stress risers,Evaporative chloride concentration under thermal insulation,ASTM G36,Minor,Replace insulation with low-chloride specification material
QA-MET-002,2024-10-20,2205,Pitting,55,Stagnant chloride solution,Localized hemispherical pits with undercut morphology,Breakdown of passive film at MnS inclusion sites,ASTM G48,Minor,Apply electropolishing to remove MnS inclusions
QA-MET-003,2024-10-22,304,SCC,98,Chloride-containing process stream,Crack propagation perpendicular to tensile stress,Evaporative chloride concentration under thermal insulation,ASTM G36,Critical,Implement stress relief annealing post-fabrication
QA-MET-004,2024-10-23,347,SCC,99,Chloride-containing process stream,Beach marks visible on fracture surface,Chloride concentration exceeding threshold limit for grade,ASTM G36,Moderate,Replace insulation with low-chloride specification material
QA-MET-005,2024-10-24,321,Pitting,21,Crevice geometry under gasket,Localized hemispherical pits with undercut morphology,Insufficient molybdenum content for chloride environment,ASTM G48,Minor,Improve surface finish to Ra < 0.5 μm
QA-MET-006,2024-10-25,321,SCC,84,Brackish water cooling system,Beach marks visible on fracture surface,Chloride concentration exceeding threshold limit for grade,ASTM G36,Moderate,Apply protective coating or thermal spray barrier
QA-MET-007,2024-10-29,347,PASCC,23,Refinery hydroprocessing unit shutdown,Rapid crack propagation during shutdown cooling,Inadequate dry-out procedure before shutdown,ASTM G35,Moderate,Solution anneal to eliminate sensitization
QA-MET-008,2024-10-31,347,SCC,103,Chlorinated cleaning solution residue,Transgranular branching crack pattern,Chloride concentration exceeding threshold limit for grade,ASTM G36,Moderate,Replace insulation with low-chloride specification material
QA-MET-009,2024-11-02,321,PASCC,72,Polythionic acid formed during wet layup,Rapid crack propagation during shutdown cooling,Sulfur compound oxidation forming H2SO4 with condensed moisture,ASTM G35,Moderate,Solution anneal to eliminate sensitization
QA-MET-010,2024-11-01,2205,Pitting,71,Acidic process fluid with halide contamination,Chloride salt deposits visible at pit periphery,PREN value below minimum for service conditions,ASTM G48,Minor,Apply electropolishing to remove MnS inclusions
QA-MET-011,2024-11-03,304,SCC,130,Marine atmospheric exposure,Brittle fracture with minimal plastic deformation,Evaporative chloride concentration under thermal insulation,ASTM G36,Minor,Reduce chloride concentration below 10 ppm threshold
